id,fullName,jobTitle,salary,dept_id
15425,Kelly Shaffer,Certified Medical Assistant (CMA),31664,1016
15426,Michael Hunter,Certified Medical Assistant (CMA),46750,1021
15427,Amy Vargas,Certified Medical Assistant (CMA),45065,1017
15428,Mary Moody,Certified Medical Assistant (CMA),43214,1014
15429,Monica Rios,Certified Medical Assistant (CMA),32237,1018
15430,Meredith Gordon,Certified Medical Assistant (CMA),47608,1021
15431,Gail Patrick,Certified Medical Assistant (CMA),31886,1017
15432,Edward Young,Certified Medical Assistant (CMA),51671,1014
15433,Desiree Erickson,Certified Medical Assistant (CMA),38776,1020
15434,Tracy Schneider,Certified Medical Assistant (CMA),46891,1017
15435,Carolyn Owen,Certified Medical Assistant (CMA),42050,1014
15436,Brittany Oliver,Certified Medical Assistant (CMA),34547,1019
15437,Paul Armstrong,Certified Medical Assistant (CMA),47970,1014
15438,Joshua Mckay,Certified Medical Assistant (CMA),39009,1018
15439,Cory Green,Certified Medical Assistant (CMA),37118,1018
15440,Dean Smith,Certified Medical Assistant (CMA),36529,1016
15441,Curtis Lopez,Certified Medical Assistant (CMA),32229,1018
15442,John Lewis,Certified Medical Assistant (CMA),43933,1015
15443,Stephanie Bailey,Certified Medical Assistant (CMA),48770,1015
15444,Julia Lewis,Certified Medical Assistant (CMA),40635,1014
15445,Benjamin Washington,Certified Medical Assistant (CMA),43240,1015
15446,Steven Hansen,Certified Medical Assistant (CMA),48741,1017
15447,Stephanie Daniels,Certified Medical Assistant (CMA),51049,1018
15448,Kenneth Morris,Certified Medical Assistant (CMA),40218,1019
15449,Seth Herring,Psych Nurse (RN),76299,1016
15450,Tammy Gill,Psych Nurse (RN),80635,1021
15451,Dr. Brian Bailey,Psych Nurse (RN),69790,1017
15452,Daniel Campbell,Psych Nurse (RN),94373,1021
15453,Wanda Brown,Psych Nurse (RN),93005,1014
15454,Christopher Cox,Psych Nurse (RN),86946,1020
15455,Brian Gutierrez,Psych Nurse (RN),85195,1015
15456,Steven Nelson,Psych Nurse (RN),98587,1019
15457,Jamie Mccarthy,Psych Nurse (RN),84854,1019
15458,Nathan Williams,Psych Nurse (RN),90635,1021
15459,Justin Nicholson,Psych Nurse (RN),70647,1019
15460,Jennifer Bender,Psych Nurse (RN),74270,1018
15461,Aaron Dennis,Psych Nurse (RN),93057,1021
15462,Craig Anderson,Psych Nurse (RN),94272,1018
15463,Christina Spencer,Psych Nurse (RN),99932,1020
15464,Ryan Espinoza,Psych Nurse (RN),75501,1018
15465,Richard Peck,Psych Nurse (RN),70361,1014
15466,Nathan Hill,Psych Nurse (RN),91996,1020
15467,Dustin Williams,Psych Nurse (RN),72193,1021
15468,Wesley Jones,Licensed Practical Nurse (LPN),49963,1014
15469,Jeffrey Edwards,Licensed Practical Nurse (LPN),56623,1020
15470,Felicia Perkins,Licensed Practical Nurse (LPN),63433,1017
15471,Taylor York DDS,Licensed Practical Nurse (LPN),47872,1017
15472,Marcus Snyder,Licensed Practical Nurse (LPN),59365,1021
15473,Shari Krause,Licensed Practical Nurse (LPN),45650,1020
15474,Alice Huff,Licensed Practical Nurse (LPN),42381,1017
15475,Christopher Miller,Licensed Practical Nurse (LPN),60355,1017
15476,Terri Jenkins,Licensed Practical Nurse (LPN),40702,1019
15477,Michael Gonzales,Licensed Practical Nurse (LPN),41210,1016
15478,Linda Mercer,Licensed Practical Nurse (LPN),57406,1017
15479,Julie Reynolds,Licensed Practical Nurse (LPN),60094,1021
15480,Miguel Knight,Licensed Practical Nurse (LPN),64087,1015
15481,Nathan Weeks,Licensed Practical Nurse (LPN),68348,1015
15482,Michael Moyer,Licensed Practical Nurse (LPN),58417,1018
15483,George Cochran,Licensed Practical Nurse (LPN),50175,1018
15484,Alexander Wright,Licensed Practical Nurse (LPN),43866,1016
15485,Alyssa Knight,Licensed Practical Nurse (LPN),72335,1016
15486,Karen Adams,Licensed Practical Nurse (LPN),52861,1017
15487,Linda Mcguire,Licensed Practical Nurse (LPN),45762,1018
15488,Clarence Manning,Licensed Practical Nurse (LPN),55097,1018
15489,Megan Hansen,Licensed Practical Nurse (LPN),57539,1015
15490,Mark Herrera,Licensed Vocational Nurse (LVN),64770,1017
15491,Jodi Reed,Licensed Vocational Nurse (LVN),51704,1018
15492,Jessica Sellers,Licensed Vocational Nurse (LVN),55602,1017
15493,Stephanie Martinez,Licensed Vocational Nurse (LVN),70306,1014
15494,Morgan Bradley,Licensed Vocational Nurse (LVN),64293,1016
15495,Michael Davis,Licensed Vocational Nurse (LVN),53573,1016
15496,Miranda Curtis,Licensed Vocational Nurse (LVN),68441,1020
15497,Gregg Copeland,Licensed Vocational Nurse (LVN),52368,1020
15498,Amanda Smith,Licensed Vocational Nurse (LVN),52121,1019
15499,Arthur Ryan,Licensed Vocational Nurse (LVN),45699,1018
15500,Caitlyn Burns,Licensed Vocational Nurse (LVN),60868,1021
15501,Tonya Smith,Licensed Vocational Nurse (LVN),42078,1015
15502,Christopher Boone,Licensed Vocational Nurse (LVN),43727,1021
