id,fullName,jobTitle,salary,dept_id
84523,Sonya Tate,Clinical Psychologist,67681,1016
84524,Darryl Woods,Clinical Psychologist,69298,1014
84525,Diana Williams,Clinical Psychologist,141013,1019
84526,Richard Simmons,Clinical Psychologist,115138,1018
84527,Monica Thompson,Clinical Psychologist,69512,1017
84528,Gregory Smith,Clinical Psychologist,112824,1014
84529,Sammy Valdez,Clinical Psychologist,74011,1014
84530,Meredith Steele,Clinical Psychologist,67362,1016
84531,Terry May,Clinical Psychologist,80142,1020
84532,Henrietta Perez,Clinical Psychologist,74981,1017
84533,Elsa Rodgers,Clinical Psychologist,120666,1018
84534,Evan Romero,Clinical Psychologist,131600,1016
84535,Veronica Lee,Clinical Psychologist,120538,1020
84536,Debbie Richardson,Clinical Psychologist,113388,1021
84537,Javier Gonzalez,Clinical Psychologist,152179,1019
84538,Sheri Buchanan,Clinical Psychologist,121886,1015
84539,Dominic Warren,Clinical Psychologist,105434,1014
84540,Duane Jensen,Clinical Psychologist,115925,1020
84541,Patti Washington,Clinical Psychologist,140549,1020
84542,Megan Daniel,Clinical Psychologist,113664,1014
84543,Jennie Allen,Clinical Psychologist,143107,1018
84544,Kristin Bates,Clinical Psychologist,67420,1021
84545,Loretta Ortiz,Clinical Psychologist,119640,1017
84546,Marcus Arnold,Clinical Psychologist,68911,1014
84547,Mandy Webb,Clinical Psychologist,108892,1017
84548,Hope Pittman,Clinical Psychologist,69181,1016
84549,Elijah Meyer,Clinical Psychologist,118218,1018
84550,Jane Reyes,Clinical Psychologist,82944,1021
84551,Leroy Jenkins,Clinical Psychologist,126433,1018
84552,Frank Perkins,Clinical Psychologist,154756,1018
84553,Wade Thornton,Clinical Psychologist,150388,1020
84554,Heidi Wade,Clinical Psychologist,81325,1015
84555,Ted Flowers,Clinical Psychologist,132188,1015
84556,Lauren Hale,Clinical Psychologist,89916,1019
84557,Louise Rowe,Clinical Psychologist,149186,1017
84558,Monique Lynch,Clinical Psychologist,71799,1017
84559,Isaac Boone,Clinical Psychologist,109498,1016
84560,Elena Gross,Clinical Psychologist,96041,1018
84561,Nicole Osborne,Clinical Psychologist,78535,1021
84562,Saul Chavez,Clinical Psychologist,141510,1017
84563,Nichole Stone,Clinical Psychologist,126862,1019
84564,Kent Lewis,Clinical Psychologist,147952,1018
84565,Carmen Love,Clinical Psychologist,152719,1021
84566,Carolyn Carr,Neuropsychologist,123744,1017
84567,Cary Wilkins,Neuropsychologist,106861,1014
84568,Matt Elliott,Neuropsychologist,137990,1017
84569,Pamela Russell,Neuropsychologist,132472,1021
84570,Paul Grant,Neuropsychologist,118825,1016
84571,Kimberly Miles,Neuropsychologist,127017,1015
84572,Kellie Reese,Neuropsychologist,108480,1020
84573,Brenda Chandler,Neuropsychologist,99213,1021
84574,Gerard Graves,Neuropsychologist,146448,1018
84575,Winifred Vargas,Neuropsychologist,108083,1021
84576,Luis Schneider,Neuropsychologist,110005,1017
84577,Faith Cohen,Neuropsychologist,117737,1019
84578,Celia Bell,Neuropsychologist,97735,1016
84579,Shelley Day,Neuropsychologist,90735,1019
84580,Gail Keller,Neuropsychologist,147195,1020
84581,Cora Shelton,Neuropsychologist,129185,1014
84582,Henry Riley,Neuropsychologist,104730,1018
84583,Allen Cooper,Neuropsychologist,120188,1017
84584,Julian Mathis,Neuropsychologist,107020,1021
84585,Charlene Hines,Neuropsychologist,121025,1016
84586,Patricia Lawrence,Neuropsychologist,141968,1020
84587,Christie Montgomery,Neuropsychologist,95722,1016
84588,Sherri Collins,Neuropsychologist,119123,1019
84589,Nancy Malone,Neuropsychologist,89801,1014
84590,Deanna Martin,Neuropsychologist,100228,1014
84591,Derrick Hardy,Neuropsychologist,146795,1019
84592,Dustin Sims,Neuropsychologist,105172,1016
84593,Timothy Jennings,Neuropsychologist,143348,1020
84594,Jesus Carlson,Neuropsychologist,140426,1021
84595,Sabrina Kim,Neuropsychologist,129290,1021
84596,Don Bowers,Neuropsychologist,138355,1015
84597,Zachary Obrien,Neuropsychologist,137864,1016
84598,Melody Ball,Neuropsychologist,98897,1014
84599,Byron Kelly,Neuropsychologist,100979,1016
84600,Ada Gilbert,Neuropsychologist,89762,1018
84601,Angel Lloyd,Neuropsychologist,146663,1016
84602,Gina Moody,Neuropsychologist,110482,1021
84603,Maureen Ellis,Neuropsychologist,104864,1016
84604,Clarence Graham,Neuropsychologist,102930,1016
84605,Shaun Delgado,Neuropsychologist,144478,1021
84606,Merle Terry,Neuropsychologist,92877,1021
84607,Andres Snyder,Neuropsychologist,103340,1019
84608,Olivia Caldwell,Neuropsychologist,109936,1019
84609,Hattie Larson,Neuropsychologist,130664,1017
84610,Thomas Gill,Neuropsychologist,134367,1019
84611,Jeffrey Reeves,Neuropsychologist,101118,1021
84612,Johnny George,Developmental Psychologist,70593,1020
84613,Sergio Jacobs,Developmental Psychologist,68827,1015
84614,Kim Ortega,Developmental Psychologist,72806,1019
84615,Helen Weber,Developmental Psychologist,79101,1019
84616,Orville Stevenson,Developmental Psychologist,65589,1018
84617,Wayne Powers,Developmental Psychologist,81972,1021
84618,Erica Walsh,Developmental Psychologist,67498,1020
84619,Dianne Huff,Developmental Psychologist,69522,1021
84620,Ruben Drake,Developmental Psychologist,96016,1020
84621,Tracey Rodriquez,Developmental Psychologist,74425,1014
84622,Melissa Flores,Developmental Psychologist,90500,1018
