id,fullName,jobTitle,salary,dept_id
98750,Carroll Chase,Licensed Marriage and Family Therapist (LMFT),88294,1018
98751,Myles Todd,Licensed Marriage and Family Therapist (LMFT),94272,1018
98752,Janna Molina,Licensed Marriage and Family Therapist (LMFT),74845,1015
98753,Renato Nash,Licensed Marriage and Family Therapist (LMFT),40516,1014
98754,Oswaldo Roth,Licensed Marriage and Family Therapist (LMFT),85978,1014
98755,Vilma Hart,Licensed Marriage and Family Therapist (LMFT),47456,1020
98756,Vicente Jenkins,Licensed Marriage and Family Therapist (LMFT),44476,1014
98757,Marlon Mckee,Licensed Marriage and Family Therapist (LMFT),85473,1017
98758,Therese Bridges,Licensed Marriage and Family Therapist (LMFT),38703,1020
98759,Jeanne Mayo,Licensed Marriage and Family Therapist (LMFT),90302,1018
98760,Chuck Mcclain,Licensed Marriage and Family Therapist (LMFT),60522,1014
98761,Hobert Bender,Licensed Marriage and Family Therapist (LMFT),61942,1014
98762,Maryellen Kaiser,Licensed Marriage and Family Therapist (LMFT),37182,1020
98763,Deena Lopez,Licensed Marriage and Family Therapist (LMFT),96480,1016
98764,Dale Villarreal,Licensed Marriage and Family Therapist (LMFT),85701,1016
98765,Monique Perez,Licensed Marriage and Family Therapist (LMFT),80777,1019
98766,Frieda Jackson,Licensed Marriage and Family Therapist (LMFT),61102,1019
98767,Malcom Morrow,Licensed Marriage and Family Therapist (LMFT),69653,1020
98768,Noble Atkins,Licensed Marriage and Family Therapist (LMFT),92785,1014
98769,Gwen Francis,Licensed Marriage and Family Therapist (LMFT),61374,1021
98770,Houston Farmer,Licensed Professional Counselor (LPC),41967,1017
98771,Carolina Roy,Licensed Professional Counselor (LPC),78925,1017
98772,Marco Cameron,Licensed Professional Counselor (LPC),66651,1019
98773,Sophie Figueroa,Licensed Professional Counselor (LPC),84122,1019
98774,Cordell Hartman,Licensed Professional Counselor (LPC),62949,1019
98775,Kara Shields,Licensed Professional Counselor (LPC),70481,1019
98776,Tracey Larson,Licensed Professional Counselor (LPC),67305,1018
98777,Timothy Jenkins,Licensed Professional Counselor (LPC),40346,1017
98778,Carrie Burke,Licensed Professional Counselor (LPC),67788,1015
98779,Deirdre Cantu,Licensed Professional Counselor (LPC),59060,1016
98780,Virgilio Townsend,Licensed Professional Counselor (LPC),66141,1016
98781,Federico Berger,Licensed Professional Counselor (LPC),70783,1019
98782,Latisha Cowan,Licensed Professional Counselor (LPC),59354,1021
98783,Delores Ponce,Licensed Professional Counselor (LPC),72224,1015
98784,Brent Gallagher,Licensed Clinical Social Worker (LCSW),87328,1021
98785,Sonya Baker,Licensed Clinical Social Worker (LCSW),63044,1019
98786,Adalberto Todd,Licensed Clinical Social Worker (LCSW),84691,1015
98787,Hayden Ibarra,Licensed Clinical Social Worker (LCSW),68557,1016
98788,Beverley Russell,Licensed Clinical Social Worker (LCSW),81527,1017
98789,Elliot Briggs,Licensed Clinical Social Worker (LCSW),49467,1014
98790,Enid Phillips,Licensed Clinical Social Worker (LCSW),47144,1016
98791,Debbie Dawson,Licensed Clinical Social Worker (LCSW),73525,1018
98792,Ramiro Barnett,Licensed Clinical Social Worker (LCSW),62759,1016
98793,Estelle Hughes,Licensed Clinical Social Worker (LCSW),82758,1021
98794,Alice Wilkins,Licensed Clinical Social Worker (LCSW),86176,1016
98795,Dolly Mcmillan,Licensed Mental Health Counselor (LMHC),62954,1014
98796,Crystal Berry,Licensed Mental Health Counselor (LMHC),57906,1017
98797,Heather Gilmore,Licensed Mental Health Counselor (LMHC),48996,1016
98798,Mattie Galvan,Licensed Mental Health Counselor (LMHC),45754,1015
98799,Ollie Parrish,Licensed Mental Health Counselor (LMHC),61389,1016
98800,Jeanine Adams,Licensed Mental Health Counselor (LMHC),77987,1014
98801,Whitney Maldonado,Licensed Mental Health Counselor (LMHC),53825,1020
98802,Haley Moore,Licensed Mental Health Counselor (LMHC),50266,1017
98803,Lavern Hayden,Licensed Mental Health Counselor (LMHC),73224,1021
98804,Jenifer Arnold,Licensed Mental Health Counselor (LMHC),91199,1019
98805,Casandra Mooney,Licensed Mental Health Counselor (LMHC),79922,1017
98806,Glenna Steele,Licensed Mental Health Counselor (LMHC),86728,1020
98807,Mary Schneider,Licensed Mental Health Counselor (LMHC),70499,1021
98808,Stanford Banks,Licensed Mental Health Counselor (LMHC),65835,1014
